Wage,Age,Club,League,Nation,Position,Apps,Caps,Wage by Apps
4483000,36,Real San Sebastian,La Liga,ESP,Midfilder,562,125,7976
4474000,23,Inter,Serie A,ITA,Defender,124,15,36080
4423000,31,Juventus,Serie A,BRA,Defender,312,45,14176
4423000,27,Milan,Serie A,BEL,Forward,209,32,21162
4423000,24,Milan,Serie A,FRA,Defender,180,7,24572
4420000,30,Fulham,Premier League,GER,Goalkeeper,398,9,11105
4420000,24,Crystal Palace,Premier League,FRA,Forward,162,0,27283
4420000,25,Aston Villa,Premier League,JAM,Midfilder,200,17,22100
4420000,28,Wolves,Premier League,POR,Defender,309,24,14304
4368000,25,Everton,Premier League,ENG,Forward,200,11,21840
4311000,31,A. Bilbao,La Liga,ESP,Defender,400,19,10777
4311000,27,Salernitana,Serie A,POL,Forward,300,23,14370
4311000,29,Bayer 04,Bundesliga,GER,Midfilder,246,2,17524
4311000,27,A. Madrid,La Liga,ARG,Midfilder,290,20,14865
4311000,27,A. Madrid,La Liga,URU,Defender,195,78,22107
4299000,33,Bayer 04,Bundesliga,CHI,Midfilder,437,97,9837
4299000,33,FC Bayern,Bundesliga,SUI,Goalkeeper,504,74,8529
4299000,34,Borussia Dortmund,Bundesliga,FRA,Forward,403,0,10667
4299000,34,OL,Ligue 1 Uber Eats,GER,Defender,378,76,11373
4299000,25,OM,Ligue 1 Uber Eats,MAR,Midfilder,161,14,26701
4299000,26,RB Leipzig,Bundesliga,GER,Defender,193,18,22274
4299000,28,OL,Ligue 1 Uber Eats,FRA,Midfilder,193,28,22274
4296000,28,Borussia Dortmund,Bundesliga,POR,Defender,275,56,15621
4259000,32,Bayer 04,Bundesliga,GER,Midfilder,310,11,13738
4199000,32,Capitoline,Serie A,ENG,Defender,308,31,13633
4199000,33,Inter,Serie A,ARM,Midfilder,438,94,9586
4160000,25,A. Madrid,La Liga,ESP,Defender,180,6,23111
4160000,26,West Ham,Premier League,ESP,Midfilder,274,6,15182
4160000,30,Nottm Forest,Premier League,ENG,Midfilder,364,6,11428
4160000,25,Leicester,Premier League,NGA,Midfilder,235,48,17702
4160000,23,Leicester,Premier League,FRA,Midfilder,103,0,40388
4160000,26,Newcastle,Premier League,ENG,Defender,159,0,26163
4160000,23,Chelsea,Premier League,ENG,Defender,133,0,31278
4160000,23,Newcastle,Premier League,ENG,Midfilder,89,0,46741
4160000,30,Nottm Forest,Premier League,NZL,Forward,454,70,9162
4160000,30,Brighton,Premier League,ENG,Defender,349,1,11919
4160000,25,Man UFC,Premier League,SCO,Defender,126,34,33015
4160000,37,Aston Villa,Premier League,ENG,Defender,524,39,7938
4160000,25,West Ham,Premier League,ENG,Midfilder,227,4,18325
4160000,24,Arsenal,Premier League,ENG,Goalkeeper,156,3,26666
4160000,21,Sevilla,La Liga,ESP,Midfilder,92,4,45217
4160000,26,Newcastle,Premier League,BRA,Midfilder,214,0,19439
4160000,22,Arsenal,Premier League,POR,Midfilder,88,0,47272
4160000,31,Crystal Palace,Premier League,SRB,Midfilder,342,39,12163
4160000,22,Man City,Premier League,ARG,Forward,81,9,51358
4160000,29,Real Hispalis,La Liga,ESP,Midfilder,325,0,12800
4160000,33,Leicester,Premier League,ENG,Defender,408,19,10196
4160000,23,Leicester,Premier League,ZAM,Forward,138,31,30144
4160000,25,Aston Villa,Premier League,ARG,Midfilder,262,1,15877
